billid,status,status_at
hconres73,REFERRED,2026-02-03
hr7338,REFERRED,2026-02-03
hr7334,REFERRED,2026-02-03
hr7323,REFERRED,2026-02-03
hr7324,REFERRED,2026-02-03
hr7337,REFERRED,2026-02-03
hr7332,REFERRED,2026-02-03
hr7335,REFERRED,2026-02-03
hr7331,REFERRED,2026-02-03
hr7339,REFERRED,2026-02-03
hr7327,REFERRED,2026-02-03
hr7329,REFERRED,2026-02-03
hr7325,REFERRED,2026-02-03
hr7336,REFERRED,2026-02-03
hr7330,REFERRED,2026-02-03
hr7326,REFERRED,2026-02-03
hr7333,REFERRED,2026-02-03
hr7328,REFERRED,2026-02-03
s3770,REFERRED,2026-02-03
s3769,REFERRED,2026-02-03
s3765,REFERRED,2026-02-03
s3768,REFERRED,2026-02-03
s3764,REFERRED,2026-02-03
s3763,REFERRED,2026-02-03
s3762,REFERRED,2026-02-03
s3761,REFERRED,2026-02-03
s3766,REFERRED,2026-02-03
s3767,REFERRED,2026-02-03
hres1034,REFERRED,2026-02-03
hres1035,REFERRED,2026-02-03
hres1033,REFERRED,2026-02-03
hconres72,REFERRED,2026-02-02
hr7307,REFERRED,2026-02-02
hr7315,REFERRED,2026-02-02
hr7306,REFERRED,2026-02-02
hr7318,REFERRED,2026-02-02
hr7313,REFERRED,2026-02-02
hr7311,REFERRED,2026-02-02
hr7312,REFERRED,2026-02-02
hr7319,REFERRED,2026-02-02
hr7314,REFERRED,2026-02-02
hr7317,REFERRED,2026-02-02
hr7316,REFERRED,2026-02-02
hr7308,REFERRED,2026-02-02
hr7309,REFERRED,2026-02-02
hr7320,REFERRED,2026-02-02
hr7305,REFERRED,2026-02-02
hr7310,REFERRED,2026-02-02
hr7321,REFERRED,2026-02-02
hr7322,REFERRED,2026-02-02
hjres147,REFERRED,2026-02-02
hjres148,REFERRED,2026-02-02
s3758,REFERRED,2026-02-02
s3760,REFERRED,2026-02-02
s3756,REFERRED,2026-02-02
s3759,REFERRED,2026-02-02
s3757,REFERRED,2026-02-02
hres1031,REFERRED,2026-02-02
hres1029,REFERRED,2026-02-02
hres1030,REFERRED,2026-02-02
hconres71,REFERRED,2026-01-30
hr7299,REFERRED,2026-01-30
hr7304,REFERRED,2026-01-30
hr7284,REFERRED,2026-01-30
hr7278,REFERRED,2026-01-30
hr7288,REFERRED,2026-01-30
hr7297,REFERRED,2026-01-30
hr7301,REFERRED,2026-01-30
hr7287,REFERRED,2026-01-30
hr7281,REFERRED,2026-01-30
hr7293,REFERRED,2026-01-30
hr7275,REFERRED,2026-01-30
hr7289,REFERRED,2026-01-30
hr7273,REFERRED,2026-01-30
hr7296,REFERRED,2026-01-30
hr7294,REFERRED,2026-01-30
hr7283,REFERRED,2026-01-30
hr7286,REFERRED,2026-01-30
hr7302,REFERRED,2026-01-30
hr7303,REFERRED,2026-01-30
hr7295,REFERRED,2026-01-30
hr7298,REFERRED,2026-01-30
hr7280,REFERRED,2026-01-30
hr7274,REFERRED,2026-01-30
hr7300,REFERRED,2026-01-30
hr7277,REFERRED,2026-01-30
hr7292,REFERRED,2026-01-30
hr7282,REFERRED,2026-01-30
hr7285,REFERRED,2026-01-30
hr7290,REFERRED,2026-01-30
hr7279,REFERRED,2026-01-30
hr7291,REFERRED,2026-01-30
hr7276,REFERRED,2026-01-30
hjres145,REFERRED,2026-01-30
hjres146,REFERRED,2026-01-30
s3753,REFERRED,2026-01-30
s3754,REFERRED,2026-01-30
hres1025,REFERRED,2026-01-30
hres1028,REFERRED,2026-01-30
hres1024,REFERRED,2026-01-30
hres1026,REFERRED,2026-01-30
hres1027,REFERRED,2026-01-30
sjres104,REFERRED,2026-01-29
s3732,REFERRED,2026-01-29
s3745,REFERRED,2026-01-29
s3730,REFERRED,2026-01-29
s3733,REFERRED,2026-01-29
s3727,REFERRED,2026-01-29
s3722,REFERRED,2026-01-29
s3721,REFERRED,2026-01-29
s3729,REFERRED,2026-01-29
s3748,REFERRED,2026-01-29
s3738,REFERRED,2026-01-29
s3740,REFERRED,2026-01-29
s3747,REFERRED,2026-01-29
s3739,REFERRED,2026-01-29
s3746,REFERRED,2026-01-29
s3752,REFERRED,2026-01-29
s3741,REFERRED,2026-01-29
s3726,REFERRED,2026-01-29
s3742,REFERRED,2026-01-29
s3743,REFERRED,2026-01-29
s3735,REFERRED,2026-01-29
s3751,REFERRED,2026-01-29
s3750,REFERRED,2026-01-29
s3736,REFERRED,2026-01-29
s3744,REFERRED,2026-01-29
s3728,REFERRED,2026-01-29
s3725,REFERRED,2026-01-29
s3734,REFERRED,2026-01-29
s3737,REFERRED,2026-01-29
s3724,REFERRED,2026-01-29
s3731,REFERRED,2026-01-29
s3749,REFERRED,2026-01-29
s3723,REFERRED,2026-01-29
sres590,REFERRED,2026-01-28
s3716,REFERRED,2026-01-28
s3713,REFERRED,2026-01-28
s3717,REFERRED,2026-01-28
s3709,REFERRED,2026-01-28
s3718,REFERRED,2026-01-28
s3712,REFERRED,2026-01-28
s3710,REFERRED,2026-01-28
s3715,REFERRED,2026-01-28
s3719,REFERRED,2026-01-28
s3708,REFERRED,2026-01-28
s3711,REFERRED,2026-01-28
s3714,REFERRED,2026-01-28
s3720,REFERRED,2026-01-28
sjres103,REFERRED,2026-01-27
sjres102,REFERRED,2026-01-27
hr7251,REFERRED,2026-01-27
hr7246,REFERRED,2026-01-27
hr7255,REFERRED,2026-01-27
hr7242,REFERRED,2026-01-27
hr7239,REFERRED,2026-01-27
hr7264,REFERRED,2026-01-27
hr7252,REFERRED,2026-01-27
hr7268,REFERRED,2026-01-27
hr7248,REFERRED,2026-01-27
hr7244,REFERRED,2026-01-27
hr7240,REFERRED,2026-01-27
hr7269,REFERRED,2026-01-27
hr7267,REFERRED,2026-01-27
hr7249,REFERRED,2026-01-27
hr7272,REFERRED,2026-01-27
hr7245,REFERRED,2026-01-27
hr7265,REFERRED,2026-01-27
hr7271,REFERRED,2026-01-27
hr7263,REFERRED,2026-01-27
hr7250,REFERRED,2026-01-27
hr7254,REFERRED,2026-01-27
hr7257,REFERRED,2026-01-27
hr7253,REFERRED,2026-01-27
hr7260,REFERRED,2026-01-27
hr7270,REFERRED,2026-01-27
hr7258,REFERRED,2026-01-27
hr7266,REFERRED,2026-01-27
hr7243,REFERRED,2026-01-27
hr7256,REFERRED,2026-01-27
hr7262,REFERRED,2026-01-27
hr7247,REFERRED,2026-01-27
hr7259,REFERRED,2026-01-27
hr7261,REFERRED,2026-01-27
hr7241,REFERRED,2026-01-27
sres586,REFERRED,2026-01-27
sres587,REFERRED,2026-01-27
sres588,REFERRED,2026-01-27
hjres144,REFERRED,2026-01-27
s3698,REFERRED,2026-01-27
s3691,REFERRED,2026-01-27
s3706,REFERRED,2026-01-27
s3689,REFERRED,2026-01-27
s3702,REFERRED,2026-01-27
s3693,REFERRED,2026-01-27
s3697,REFERRED,2026-01-27
s3692,REFERRED,2026-01-27
s3703,REFERRED,2026-01-27
s3704,REFERRED,2026-01-27
s3701,REFERRED,2026-01-27
s3699,REFERRED,2026-01-27
s3690,REFERRED,2026-01-27
s3700,REFERRED,2026-01-27
s3694,REFERRED,2026-01-27
s3696,REFERRED,2026-01-27
s3707,REFERRED,2026-01-27
s3695,REFERRED,2026-01-27
hres1022,REFERRED,2026-01-27
hres1020,REFERRED,2026-01-27
hres1023,REFERRED,2026-01-27
hres1021,REFERRED,2026-01-27
hr7236,REFERRED,2026-01-23
hr7235,REFERRED,2026-01-23
hr7238,REFERRED,2026-01-23
hr7237,REFERRED,2026-01-23
hres1019,REFERRED,2026-01-23
hr7215,REFERRED,2026-01-22
hr7197,REFERRED,2026-01-22
hr7219,REFERRED,2026-01-22
hr7208,REFERRED,2026-01-22
hr7223,REFERRED,2026-01-22
hr7206,REFERRED,2026-01-22
hr7228,REFERRED,2026-01-22
hr7207,REFERRED,2026-01-22
hr7202,REFERRED,2026-01-22
hr7226,REFERRED,2026-01-22
hr7220,REFERRED,2026-01-22
hr7216,REFERRED,2026-01-22
hr7203,REFERRED,2026-01-22
hr7205,REFERRED,2026-01-22
hr7231,REFERRED,2026-01-22
hr7218,REFERRED,2026-01-22
hr7234,REFERRED,2026-01-22
